EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,both,A,A,A,A,B,A,A,A,A,B
A,B,B,B,B,A,both,B,B,A,A,B,both,A,B,B,both,A,B,A,B,A,A,both,A,A
both,A,both,A,both,A,both,B,A,both,A,both,B,B,A,A,A,A,both,A,A,both,A,B,both,B
A,A,A,B,B,A,A,both,A,A,B,A,B,A,A,B,B,A,A,B,A,A,A,both,A,both
A,A,B,,A,B,B,both,both,B,A,A,A,both,A,A,B,A,A,A,A,both,A,A,B,A
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
A,B,A,B,B,A,A,B,A,C,B,A,A,B,A,both,B,A,A,A,A,B,A,B,B,B
B,B,B,B,B,B,B,both,A,B,A,A,A,A,B,A,B,B,B,both,A,A,A,B,both,both
both,both,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,both,A,A,B,A,B
