,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
239,good mixer groups people,somewhat,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,show feelings freely,go,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
240,ambivalent,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
241,rather quiet reserved,less talkative,friendship mother sisters,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,enjoy time,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
242,good mixer groups people,full news everybody,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,dont introduce others expect introduce,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,none,value logic feelings
243,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,consistently reasonable person,value emotion logic
244,good mixer groups people,full news everybody,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,right away,show feelings freely,plan,stress,find necessary go along,free whatever looks like fun time comes,always tiring,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,accepted way,dont like center attraction,,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,mind rule heart,consistently reasonable person,value logic feelings
245,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
246,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,stress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
247,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,stress,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value logic feelings
248,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,right away,show feelings freely,go,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
249,good mixer groups people,full news everybody,broad friendships many different people,stand back listen first,talk easily almost anyone long,often introduce others,right away,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
250,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value emotion logic
251,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,normalacting never make center attention,imaginative people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,rule,person real feeling,value emotion logic
252,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,prefer balance,like writers say exactly mean,practical person,someone feet ground,heart rule head,consistently reasonable person,value logic feelings
253,depends people,one last hear going,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,accepted way,normalacting never make center attention,,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,consistently reasonable person,depends condition
254,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,often introduce others,really get know,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
255,good mixer groups people,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,heart rule head,person real feeling,value emotion logic
256,good mixer groups people,one last hear going,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,stress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value logic feelings
257,good mixer groups people,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,show close,sometimes planned sometimes,help,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,happened,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
258,rather quiet reserved,one last hear going,broad friendships many different people,stand back listen first,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
259,rather quiet reserved,one last hear going,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
260,good mixer groups people,one last hear going,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value emotion logic
261,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone feet ground,heart rule head,person real feeling,value logic feelings
262,good mixer groups people,one last hear going,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,appeal,little unpleasant tied,following carefully worked plan,hate work pressure,factsbased courses,accepted way,original individual care whether center attention,imaginative people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
263,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,right away,show feelings freely,go,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
264,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,accepted way,normalacting never make center attention,imaginative people,enjoy odd original ways saying things,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
265,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
266,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,find necessary go along,arrange picnics parties etc well advance,appeal,little unpleasant tied,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
267,rather quiet reserved,dont interest matter even friends best friends dont love hear advises problem im tere,deep friendship people,stand back listen first,find lot say certain people certain conditions,large groups,really get know,keep feelings,airpods zone,im person,prepare needed,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,still creative thinking,someone feet ground,heart rule head,consistently reasonable person,depends situations sometimes logic sometimes emotion
268,good mixer groups people,depends situation,deep friendship many people,stand back listen first,talk easily almost anyone long,often introduce others,really get know,depends person situation makes decide whether show feelings truly keep,go,stress,find necessary go along,free whatever looks like fun time comes,appeal,feel like little unpleasant also nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,invent way,original individual care whether center attention,,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
269,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,often introduce others,really get know,keep feelings,go,stress,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
270,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,imaginative people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
271,rather quiet reserved,one last hear going,make friends go generally deeper friendships dont avoid shallow relationships,stand back listen first,middle options,get introduced,really get know,keep feelings,generally plan wind takes control,lmao making list sure everyone tried failed miserably,find necessary go along,free whatever looks like fun time comes,neither doesnt appeal anyway doesnt really cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,accepted way,admiration something dont often admire people achieved something life,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,depends really cause one truly inclined one,different one involves certain part brain different one,different domains paradoxically separate one cannot without yet independent
272,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,right away,show feelings freely,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,normalacting never make center attention,imaginative people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
273,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,talk easily almost anyone long,,really get know,show feelings freely,plan,stress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value logic feelings
274,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,often introduce others,really get know,keep feelings,go,help,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
275,extroverted introvert balance,unless something importance really bothered,deep friendship people,would want hear opinions others first giving helps understanding stance group allowing give better aligned opinion,find lot say certain people certain conditions,would wait turn someones introducing would happy introduce myselfan,bit conversation enthusiastic things passionate tend talk easily,neither much,nature dont plan stuff want change got random day would want plan bit,help,find necessary go along,free whatever looks like fun time comes,balance prefer scheduling work related slightly less scheduling related relaxation,nice able plan accordingly,expert either good enough,hate work pressure,actually enjoy teaching factual based concepts also like encourage critical independent thinking believe interactions discussions audience important,depends accepted way align interests work according would rather find way things,prefer balance neither notcare overly attention seeking happy lucky people get along well everyone cool,realistic people,dont like writers sugar coat also dont like writers dont understand essence writing would give straight facts opinions,prefer realistic practical also idea thinking box trying newer approaches appeals well,prefer mix,depending situation,dont get options opinion answers necessarily pick one pick opposites,value logic feelings
276,rather quiet reserved,second sometimes third know,deep friendship people,join topic interest,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,stress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,accepted way,depends personality,,like writers say exactly mean,practical person,prefer individual qualities,head rule heart,consistently reasonable person,value logic feelings
277,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
278,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,listen people,really get know,keep feelings,plan,make one helps,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,people mix,enjoy odd original ways saying things,overthinker,someone brings happiness presence,heart rule head,person real feeling,value emotion logic
