,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
188,good mixer groups people,full news everybody,,join talk group,find lot say certain people certain conditions,often introduce others,right away,show feelings freely,go,stress,find necessary go along,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
189,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,positively depress,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
190,good mixer groups people,one last hear going,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,show feelings freely,plan,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
191,case ambivert see first type people indulging,sometimes every time well actually depends topic prioritize life,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,looks quite nice planned soon gets close feels like burden,nd option preferable every time think follow plan might get positive output,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value emotion logic
192,rather quiet reserved,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,often introduce others,right away,show feelings freely,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
193,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
194,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
195,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
196,good mixer groups people,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,consistently reasonable person,value emotion logic
197,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,often introduce others,right away,show feelings freely,plan,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
198,good mixer groups people,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
199,good mixer groups people,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
200,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
201,good mixer groups people,one last hear going,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,right away,show feelings freely,go,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
